tag,count,zh_name,confidence,note
loose_hair_strand,2946,宽松头发strand,medium,自动拆词；需校对未知片段: strand
people,2928,people,low,自动拆词；需校对未知片段: people
brown_capelet,2927,棕色小披肩,medium,自动拆词组合，建议校对语序
pom_pom_hair_ornament,2918,绒球绒球头发饰品,medium,自动拆词组合，建议校对语序
looking_at_animal,2910,看着动物,medium,自动拆词组合，建议校对语序
magazine_(object),2905,magazine（物体）,low,自动拆词；需校对未知片段: magazine
twitching_penis,2901,twitching阴茎,medium,自动拆词；需校对未知片段: twitching
head_grab,2900,头抓住,medium,自动拆词组合，建议校对语序
glitch,2900,glitch,low,自动拆词；需校对未知片段: glitch
grey_fur,2899,灰色毛皮,medium,自动拆词组合，建议校对语序
arch,2895,arch,low,自动拆词；需校对未知片段: arch
single_ear_cover,2883,单个耳朵覆盖,medium,自动拆词组合，建议校对语序
thick_arms,2874,厚手臂,medium,自动拆词组合，建议校对语序
fur_scarf,2865,毛皮围巾,medium,自动拆词组合，建议校对语序
narrowed_eyes,2851,narrowed眼睛,medium,自动拆词；需校对未知片段: narrowed
patterned_clothing,2840,patterned服装,medium,自动拆词；需校对未知片段: patterned
very_sweaty,2840,非常sweaty,medium,自动拆词；需校对未知片段: sweaty
kabedon,2834,kabedon,low,自动拆词；需校对未知片段: kabedon
roman_numeral,2831,romannumeral,low,"自动拆词；需校对未知片段: roman, numeral"
\||/,2826,\||/,low,自动拆词；需校对未知片段: \||/
2019,2826,2019,medium,自动拆词组合，建议校对语序
high-waist_pants,2823,high腰裤子,medium,自动拆词；需校对未知片段: high
chain_leash,2812,链条牵绳,medium,自动拆词组合，建议校对语序
crossed_bandaids,2812,crossedbandaids,low,"自动拆词；需校对未知片段: crossed, bandaids"
borrowed_clothes,2802,borrowed服装,medium,自动拆词；需校对未知片段: borrowed
diagonal-striped_necktie,2793,对角条纹领带,medium,自动拆词组合，建议校对语序
black_leggings,2791,黑色leggings,medium,自动拆词；需校对未知片段: leggings
2018,2787,2018,medium,自动拆词组合，建议校对语序
tied_up_(nonsexual),2785,tied变大（nonsexual）,medium,自动拆词；需校对未知片段: tied
bread_slice,2785,breadslice,low,"自动拆词；需校对未知片段: bread, slice"
averting_eyes,2779,averting眼睛,medium,自动拆词；需校对未知片段: averting
dreadlocks,2777,dreadlocks,low,自动拆词；需校对未知片段: dreadlocks
red_hoodie,2767,红色连帽衫,medium,自动拆词组合，建议校对语序
drawing_(object),2766,drawing（物体）,low,自动拆词；需校对未知片段: drawing
character_hair_ornament,2762,character头发饰品,medium,自动拆词；需校对未知片段: character
mechanical_horns,2762,机械角,medium,自动拆词组合，建议校对语序
humanoid_robot,2760,humanoid机器人,medium,自动拆词；需校对未知片段: humanoid
pulling_another's_clothes,2757,pulling他人的服装,medium,自动拆词；需校对未知片段: pulling
grey-framed_eyewear,2756,灰色framed眼镜,medium,自动拆词；需校对未知片段: framed
lights,2752,lights,low,自动拆词；需校对未知片段: lights
sun_symbol,2752,sun符号,medium,自动拆词；需校对未知片段: sun
see-through_legwear,2750,透视腿部穿着,medium,自动拆词组合，建议校对语序
facing_to_the_side,2749,facing侧边,medium,自动拆词；需校对未知片段: facing
uneven_sleeves,2748,不均匀袖子,medium,自动拆词组合，建议校对语序
star_halo,2744,星星光环,medium,自动拆词组合，建议校对语序
white_male_underwear,2741,白色男性内衣,medium,自动拆词组合，建议校对语序
turtleneck_dress,2728,高领连衣裙,medium,自动拆词组合，建议校对语序
ankle_cuffs,2721,脚踝袖口,medium,自动拆词组合，建议校对语序
untied_panties,2719,untied内裤,medium,自动拆词；需校对未知片段: untied
striped_horns,2718,条纹角,medium,自动拆词组合，建议校对语序
aqua_bikini,2718,水色比基尼,medium,自动拆词组合，建议校对语序
multiple_moles,2717,多个moles,medium,自动拆词；需校对未知片段: moles
holding_handheld_game_console,2716,拿着handheld游戏console,low,"自动拆词；需校对未知片段: handheld, console"
reference_inset,2715,引用inset,medium,自动拆词；需校对未知片段: inset
year_of_the_ox,2712,年ox,medium,自动拆词；需校对未知片段: ox
curtained_hair,2710,curtained头发,medium,自动拆词；需校对未知片段: curtained
red_bag,2702,红色包,medium,自动拆词组合，建议校对语序
green_lips,2701,绿色嘴唇,medium,自动拆词组合，建议校对语序
kitauji_high_school_uniform,2701,kitaujihigh学校制服,low,"自动拆词；需校对未知片段: kitauji, high"
black_sash,2698,黑色腰带,medium,自动拆词组合，建议校对语序
slime_(creature),2697,slime（creature）,low,自动拆词；需校对未知片段: slime
false_smile,2696,falsesmile,low,"自动拆词；需校对未知片段: false, smile"
buzz_cut,2687,buzz切开,medium,自动拆词；需校对未知片段: buzz
holding_clipboard,2686,拿着clipboard,medium,自动拆词；需校对未知片段: clipboard
playing_with_own_hair,2680,playing自己的头发,medium,自动拆词；需校对未知片段: playing
very_long_sleeves,2678,非常长袖子,medium,自动拆词组合，建议校对语序
naked_jacket,2665,裸体夹克,medium,自动拆词组合，建议校对语序
red_one-piece_swimsuit,2663,红色一个件泳装,medium,自动拆词组合，建议校对语序
dragon_boy,2663,dragon男孩,medium,自动拆词；需校对未知片段: dragon
ribbed_legwear,2654,罗纹腿部穿着,medium,自动拆词组合，建议校对语序
notched_lapels,2650,notchedlapels,low,"自动拆词；需校对未知片段: notched, lapels"
bound_ankles,2649,boundankles,low,"自动拆词；需校对未知片段: bound, ankles"
green_hoodie,2639,绿色连帽衫,medium,自动拆词组合，建议校对语序
white_sash,2637,白色腰带,medium,自动拆词组合，建议校对语序
2016,2629,2016,medium,自动拆词组合，建议校对语序
magatama_necklace,2628,magatama项链,medium,自动拆词；需校对未知片段: magatama
egg_(food),2626,egg（食物）,low,自动拆词；需校对未知片段: egg
single_pauldron,2625,单个pauldron,medium,自动拆词；需校对未知片段: pauldron
short_bangs,2619,短刘海,medium,自动拆词组合，建议校对语序
reflective_water,2614,reflective水,medium,自动拆词；需校对未知片段: reflective
mixed-language_text,2613,mixedlanguage文字,low,"自动拆词；需校对未知片段: mixed, language"
orange-tinted_eyewear,2611,橙色染色眼镜,medium,自动拆词组合，建议校对语序
cracked_skin,2610,cracked皮肤,medium,自动拆词；需校对未知片段: cracked
finger_to_own_chin,2607,手指自己的chin,medium,自动拆词；需校对未知片段: chin
furry_with_furry,2602,兽人兽人,medium,自动拆词组合，建议校对语序
confused,2601,confused,low,自动拆词；需校对未知片段: confused
hand_on_own_leg,2599,手在自己的腿,medium,自动拆词组合，建议校对语序
legwear_garter,2589,腿部穿着吊袜带,medium,自动拆词组合，建议校对语序
traditional_nun,2584,传统nun,medium,自动拆词；需校对未知片段: nun
balcony,2577,balcony,low,自动拆词；需校对未知片段: balcony
cheating_(relationship),2556,cheating（relationship）,low,自动拆词；需校对未知片段: cheating
hyur,2555,hyur,low,自动拆词；需校对未知片段: hyur
after_ejaculation,2551,之后ejaculation,medium,自动拆词；需校对未知片段: ejaculation
pendant_choker,2550,pendant项圈,medium,自动拆词；需校对未知片段: pendant
2017,2547,2017,medium,自动拆词组合，建议校对语序
pink_bag,2539,粉色包,medium,自动拆词组合，建议校对语序
worried,2538,担心,medium,自动拆词组合，建议校对语序
nontraditional_playboy_bunny,2537,nontraditionalplayboy兔女郎,low,"自动拆词；需校对未知片段: nontraditional, playboy"
2015,2532,2015,medium,自动拆词组合，建议校对语序
shuuchiin_academy_school_uniform,2532,shuuchiin学园学校制服,medium,自动拆词；需校对未知片段: shuuchiin
hands_on_another's_head,2527,双手在他人的头,medium,自动拆词组合，建议校对语序
holding_lantern,2522,拿着lantern,medium,自动拆词；需校对未知片段: lantern
two-sided_cape,2519,两个双面披肩,medium,自动拆词组合，建议校对语序
dynamax_band,2516,dynamaxband,low,"自动拆词；需校对未知片段: dynamax, band"
fewer_digits,2512,fewerdigits,low,"自动拆词；需校对未知片段: fewer, digits"
cosmetics,2511,cosmetics,low,自动拆词；需校对未知片段: cosmetics
assault_visor,2508,assaultvisor,low,"自动拆词；需校对未知片段: assault, visor"
shark_hood,2505,鲨鱼兜帽,medium,自动拆词组合，建议校对语序
plaid_bowtie,2501,格纹领结,medium,自动拆词组合，建议校对语序
glowing_sword,2500,发光剑,medium,自动拆词组合，建议校对语序
holding_stick,2498,拿着stick,medium,自动拆词；需校对未知片段: stick
panty_straps,2498,pantystraps,low,"自动拆词；需校对未知片段: panty, straps"
fake_phone_screenshot,2497,假phonescreenshot,low,"自动拆词；需校对未知片段: phone, screenshot"
curtain_grab,2489,curtain抓住,medium,自动拆词；需校对未知片段: curtain
black_wristband,2484,黑色wristband,medium,自动拆词；需校对未知片段: wristband
censored_nipples,2476,censored乳头,medium,自动拆词；需校对未知片段: censored
champion's_tunic_(zelda),2464,champion'stunic（zelda）,low,"自动拆词；需校对未知片段: champion's, tunic"
spread_wings,2461,spread翅膀,medium,自动拆词；需校对未知片段: spread
latex_bodysuit,2461,latex紧身衣,medium,自动拆词；需校对未知片段: latex
skull_mask,2459,骷髅面具,medium,自动拆词组合，建议校对语序
grey_kimono,2455,灰色和服,medium,自动拆词组合，建议校对语序
vertical-striped_pantyhose,2454,竖向条纹连裤袜,medium,自动拆词组合，建议校对语序
little_busters!_school_uniform,2452,littlebusters!学校制服,low,"自动拆词；需校对未知片段: little, busters!"
finger_in_own_mouth,2447,手指在自己的嘴,medium,自动拆词组合，建议校对语序
sleeping_on_person,2432,sleeping在人物,medium,自动拆词；需校对未知片段: sleeping
hand_on_another's_ass,2431,手在他人的屁股,medium,自动拆词组合，建议校对语序
fanbox_username,2429,fanbox用户名,medium,自动拆词；需校对未知片段: fanbox
tactical_clothes,2427,tactical服装,medium,自动拆词；需校对未知片段: tactical
licking_nipple,2425,舔乳头,medium,自动拆词组合，建议校对语序
video_camera,2422,videocamera,low,"自动拆词；需校对未知片段: video, camera"
tall_female,2422,tall女性,medium,自动拆词；需校对未知片段: tall
bisexual_female,2415,bisexual女性,medium,自动拆词；需校对未知片段: bisexual
spiked_armlet,2411,spikedarmlet,low,"自动拆词；需校对未知片段: spiked, armlet"
traditional_youkai,2404,传统youkai,medium,自动拆词；需校对未知片段: youkai
millennium_cheerleader_outfit_(blue_archive),2400,millenniumcheerleaderoutfit（blue_archive）,low,"自动拆词；需校对未知片段: millennium, cheerleader, outfit"
see-through_leotard,2399,透视连体衣,medium,自动拆词组合，建议校对语序
green_neckerchief,2397,绿色领巾,medium,自动拆词组合，建议校对语序
industrial_pipe,2397,industrial管,medium,自动拆词；需校对未知片段: industrial
o-ring_thigh_strap,2396,o泳圈大腿带子,medium,自动拆词；需校对未知片段: o
frilled_socks,2384,荷叶边袜子,medium,自动拆词组合，建议校对语序
cone_horns,2381,cone角,medium,自动拆词；需校对未知片段: cone
grey_necktie,2379,灰色领带,medium,自动拆词组合，建议校对语序
breast_curtain,2378,乳房curtain,medium,自动拆词；需校对未知片段: curtain
holstered,2374,holstered,low,自动拆词；需校对未知片段: holstered
head_on_pillow,2367,头在枕头,medium,自动拆词组合，建议校对语序
blue_sash,2364,蓝色腰带,medium,自动拆词组合，建议校对语序
two-sided_jacket,2363,两个双面夹克,medium,自动拆词组合，建议校对语序
pink_pupils,2361,粉色瞳孔,medium,自动拆词组合，建议校对语序
plaid_necktie,2359,格纹领带,medium,自动拆词组合，建议校对语序
hair_through_headwear,2354,头发视头饰,medium,自动拆词组合，建议校对语序
backless_leotard,2351,backless连体衣,medium,自动拆词；需校对未知片段: backless
holding_swim_ring,2344,拿着swim泳圈,medium,自动拆词；需校对未知片段: swim
multiple_condoms,2343,多个condoms,medium,自动拆词；需校对未知片段: condoms
loose_clothes,2337,宽松服装,medium,自动拆词组合，建议校对语序
mechanical_tail,2336,机械尾巴,medium,自动拆词组合，建议校对语序
tokusatsu,2332,tokusatsu,low,自动拆词；需校对未知片段: tokusatsu
stomach_cutout,2324,stomach开洞,medium,自动拆词；需校对未知片段: stomach
cropped_shoulders,2319,短款shoulders,medium,自动拆词；需校对未知片段: shoulders
black_male_underwear,2315,黑色男性内衣,medium,自动拆词组合，建议校对语序
patchwork_skin,2312,patchwork皮肤,medium,自动拆词；需校对未知片段: patchwork
emoji,2305,emoji,low,自动拆词；需校对未知片段: emoji
nijigasaki_academy_school_uniform,2305,nijigasaki学园学校制服,medium,自动拆词；需校对未知片段: nijigasaki
constellation_print,2289,星座印花,medium,自动拆词组合，建议校对语序
floating_clothes,2282,漂浮服装,medium,自动拆词组合，建议校对语序
see-through_skirt,2282,透视裙子,medium,自动拆词组合，建议校对语序
black_pubic_hair,2281,黑色阴部头发,medium,自动拆词组合，建议校对语序
tracen_training_uniform,2280,tracentraining制服,low,"自动拆词；需校对未知片段: tracen, training"
blue_eyeshadow,2279,蓝色眼影,medium,自动拆词组合，建议校对语序
handsfree_ejaculation,2277,handsfreeejaculation,low,"自动拆词；需校对未知片段: handsfree, ejaculation"
puckered_anus,2277,puckeredanus,low,"自动拆词；需校对未知片段: puckered, anus"
open_pants,2273,打开裤子,medium,自动拆词组合，建议校对语序
fishnet_top,2273,网眼上装,medium,自动拆词组合，建议校对语序
cum_on_penis,2273,精液在阴茎,medium,自动拆词组合，建议校对语序
inverted_bob,2272,invertedbob,low,"自动拆词；需校对未知片段: inverted, bob"
drop_earrings,2271,drop耳环,medium,自动拆词；需校对未知片段: drop
sleeve_garter,2265,袖子吊袜带,medium,自动拆词组合，建议校对语序
veiny_breasts,2265,veiny乳房,medium,自动拆词；需校对未知片段: veiny
heart_o-ring,2265,心形o泳圈,medium,自动拆词；需校对未知片段: o
two-tone_ribbon,2263,两个tone丝带,medium,自动拆词；需校对未知片段: tone
chest_strap,2262,胸部带子,medium,自动拆词组合，建议校对语序
kalashnikov_rifle,2262,kalashnikovrifle,low,"自动拆词；需校对未知片段: kalashnikov, rifle"
face_to_breasts,2261,脸乳房,medium,自动拆词组合，建议校对语序
tight_shirt,2259,紧身衬衫,medium,自动拆词组合，建议校对语序
brown_necktie,2257,棕色领带,medium,自动拆词组合，建议校对语序
crazy_smile,2252,crazysmile,low,"自动拆词；需校对未知片段: crazy, smile"
gold_hairband,2248,金色发带,medium,自动拆词组合，建议校对语序
yellow_hoodie,2246,黄色连帽衫,medium,自动拆词组合，建议校对语序
eye_focus,2243,眼特写,medium,自动拆词组合，建议校对语序
white_bag,2242,白色包,medium,自动拆词组合，建议校对语序
red-tinted_eyewear,2242,红色染色眼镜,medium,自动拆词组合，建议校对语序
deviantart_username,2240,deviantart用户名,medium,自动拆词；需校对未知片段: deviantart
eyebrow_cut,2240,eyebrow切开,medium,自动拆词；需校对未知片段: eyebrow
animal_ear_headwear,2239,动物耳朵头饰,medium,自动拆词组合，建议校对语序
collared_coat,2238,collared外套,medium,自动拆词；需校对未知片段: collared
goat_ears,2237,山羊耳朵,medium,自动拆词组合，建议校对语序
collared_cape,2235,collared披肩,medium,自动拆词；需校对未知片段: collared
sports_car,2232,运动car,medium,自动拆词；需校对未知片段: car
grey_scarf,2230,灰色围巾,medium,自动拆词组合，建议校对语序
grey_border,2230,灰色边框,medium,自动拆词组合，建议校对语序
single_hair_ring,2230,单个头发泳圈,medium,自动拆词组合，建议校对语序
birdcage,2228,birdcage,low,自动拆词；需校对未知片段: birdcage
yellow_thighhighs,2227,黄色长筒袜,medium,自动拆词组合，建议校对语序
green_sleeves,2225,绿色袖子,medium,自动拆词组合，建议校对语序
orange_fur,2222,橙色毛皮,medium,自动拆词组合，建议校对语序
window_blinds,2221,windowblinds,low,"自动拆词；需校对未知片段: window, blinds"
leopard_ears,2213,leopard耳朵,medium,自动拆词；需校对未知片段: leopard
purple_gemstone,2210,紫色宝石,medium,自动拆词组合，建议校对语序
futanari_masturbation,2209,futanari自慰,medium,自动拆词；需校对未知片段: futanari
scar_on_neck,2208,伤疤在脖子,medium,自动拆词组合，建议校对语序
clover_print,2205,clover印花,medium,自动拆词；需校对未知片段: clover
lycoris_uniform,2202,lycoris制服,medium,自动拆词；需校对未知片段: lycoris
holding_game_controller,2200,拿着游戏controller,medium,自动拆词；需校对未知片段: controller
pink_socks,2198,粉色袜子,medium,自动拆词组合，建议校对语序
black_buruma,2197,黑色buruma,medium,自动拆词；需校对未知片段: buruma
greatsword,2189,greatsword,low,自动拆词；需校对未知片段: greatsword
sideways,2182,sideways,low,自动拆词；需校对未知片段: sideways
pixiv_id,2181,pixivid,low,"自动拆词；需校对未知片段: pixiv, id"
multicolored_fur,2179,多色毛皮,medium,自动拆词组合，建议校对语序
neon_lights,2176,neonlights,low,"自动拆词；需校对未知片段: neon, lights"
green_apron,2174,绿色围裙,medium,自动拆词组合，建议校对语序
park_bench,2174,parkbench,low,"自动拆词；需校对未知片段: park, bench"
brushing_hair,2171,brushing头发,medium,自动拆词；需校对未知片段: brushing
eyebrow_piercing,2167,eyebrow穿孔,medium,自动拆词；需校对未知片段: eyebrow
gold_necklace,2163,金色项链,medium,自动拆词组合，建议校对语序
bird_legs,2158,鸟腿,medium,自动拆词组合，建议校对语序
polka_dot_dress,2156,polka点连衣裙,medium,自动拆词；需校对未知片段: polka
puffy_pants,2154,puffy裤子,medium,自动拆词；需校对未知片段: puffy
plaid_headwear,2152,格纹头饰,medium,自动拆词组合，建议校对语序
space_helmet,2152,space头盔,medium,自动拆词；需校对未知片段: space
white_tail,2151,白色尾巴,medium,自动拆词组合，建议校对语序
blood_from_eyes,2143,血眼睛,medium,自动拆词组合，建议校对语序
fiery_hair,2143,fiery头发,medium,自动拆词；需校对未知片段: fiery
sidepec,2143,sidepec,low,自动拆词；需校对未知片段: sidepec
red_fur,2141,红色毛皮,medium,自动拆词组合，建议校对语序
leather_belt,2139,leather腰带,medium,自动拆词；需校对未知片段: leather
green_halo,2134,绿色光环,medium,自动拆词组合，建议校对语序
claw_ring,2129,claw泳圈,medium,自动拆词；需校对未知片段: claw
dyed_bangs,2120,dyed刘海,medium,自动拆词；需校对未知片段: dyed
two-tone_eyes,2117,两个tone眼睛,medium,自动拆词；需校对未知片段: tone
wrinkled_skin,2115,wrinkled皮肤,medium,自动拆词；需校对未知片段: wrinkled
fake_antlers,2115,假鹿角,medium,自动拆词组合，建议校对语序
frilled_cuffs,2114,荷叶边袖口,medium,自动拆词组合，建议校对语序
scissor_blade_(kill_la_kill),2113,scissorblade（kill_la_kill）,low,"自动拆词；需校对未知片段: scissor, blade"
two-tone_bowtie,2111,两个tone领结,medium,自动拆词；需校对未知片段: tone
palm_leaf,2109,palm叶子,medium,自动拆词；需校对未知片段: palm
pink_blood,2107,粉色血,medium,自动拆词组合，建议校对语序
holding_brush,2105,拿着brush,medium,自动拆词；需校对未知片段: brush
against_tree,2101,against树,medium,自动拆词；需校对未知片段: against
black_halo,2100,黑色光环,medium,自动拆词组合，建议校对语序
checkered_necktie,2098,棋盘格领带,medium,自动拆词组合，建议校对语序
on_bench,2096,在bench,medium,自动拆词；需校对未知片段: bench
upturned_eyes,2096,upturned眼睛,medium,自动拆词；需校对未知片段: upturned
jack-o'_challenge,2094,插孔o'挑战,medium,自动拆词；需校对未知片段: o'
e.g.o_(project_moon),2091,e.g.o（project_moon）,low,自动拆词；需校对未知片段: e.g.o
bear_girl,2087,熊女孩,medium,自动拆词组合，建议校对语序
fur-trimmed_cloak,2085,毛皮饰边斗篷,medium,自动拆词组合，建议校对语序
electrokinesis,2084,electrokinesis,low,自动拆词；需校对未知片段: electrokinesis
fangs_out,2081,fangs露出,medium,自动拆词；需校对未知片段: fangs
gold_bracelet,2081,金色手镯,medium,自动拆词组合，建议校对语序
black_undershirt,2078,黑色undershirt,medium,自动拆词；需校对未知片段: undershirt
incoming_attack,2075,incomingattack,low,"自动拆词；需校对未知片段: incoming, attack"
poke_ball_symbol,2072,poke球符号,medium,自动拆词；需校对未知片段: poke
pink_fur,2072,粉色毛皮,medium,自动拆词组合，建议校对语序
cum_on_legs,2071,精液在腿,medium,自动拆词组合，建议校对语序
shortstack,2066,shortstack,low,自动拆词；需校对未知片段: shortstack
holding_baseball_bat,2064,拿着baseball蝙蝠,medium,自动拆词；需校对未知片段: baseball
hand_on_eyewear,2063,手在眼镜,medium,自动拆词组合，建议校对语序
fertilization,2062,fertilization,low,自动拆词；需校对未知片段: fertilization
orange_thighhighs,2059,橙色长筒袜,medium,自动拆词组合，建议校对语序
sitting_in_tree,2056,坐着在树,medium,自动拆词组合，建议校对语序
thigh_cutout,2055,大腿开洞,medium,自动拆词组合，建议校对语序
knees_apart_feet_together,2048,膝盖分开脚在一起,medium,自动拆词组合，建议校对语序
ribbon-trimmed_clothes,2047,丝带饰边服装,medium,自动拆词组合，建议校对语序
blue_bag,2044,蓝色包,medium,自动拆词组合，建议校对语序
purple_belt,2041,紫色腰带,medium,自动拆词组合，建议校对语序
leg_hold,2040,腿hold,medium,自动拆词；需校对未知片段: hold
wooden_table,2040,wooden桌子,medium,自动拆词；需校对未知片段: wooden
x-shaped_pupils,2039,x形瞳孔,medium,自动拆词；需校对未知片段: x
red_bandana,2037,红色bandana,medium,自动拆词；需校对未知片段: bandana
spoken_character,2034,spokencharacter,low,"自动拆词；需校对未知片段: spoken, character"
looking_at_mirror,2032,看着mirror,medium,自动拆词；需校对未知片段: mirror
halloween_bucket,2032,halloweenbucket,low,"自动拆词；需校对未知片段: halloween, bucket"
blue_collar,2029,蓝色衣领,medium,自动拆词组合，建议校对语序
white_veil,2025,白色veil,medium,自动拆词；需校对未知片段: veil
belt_bra,2023,腰带bra,medium,自动拆词；需校对未知片段: bra
yellow_armband,2023,黄色臂章,medium,自动拆词组合，建议校对语序
flower_ornament,2018,花饰品,medium,自动拆词组合，建议校对语序
shoulder_boards,2011,肩boards,medium,自动拆词；需校对未知片段: boards
fish_(food),2008,鱼（食物）,medium,自动拆词组合，建议校对语序
blowing_kiss,2005,blowingkiss,low,"自动拆词；需校对未知片段: blowing, kiss"
multicolored_shirt,1999,多色衬衫,medium,自动拆词组合，建议校对语序
cooking_pot,1999,cookingpot,low,"自动拆词；需校对未知片段: cooking, pot"
viera,1998,viera,low,自动拆词；需校对未知片段: viera
pillbox_hat,1997,pillbox帽子,medium,自动拆词；需校对未知片段: pillbox
penis_out,1995,阴茎露出,medium,自动拆词组合，建议校对语序
brown_socks,1995,棕色袜子,medium,自动拆词组合，建议校对语序
single_fingerless_glove,1993,单个露指手套,medium,自动拆词组合，建议校对语序
